time,alb_KPC_L,lat_KPC_L,lon_KPC_L,cloud_KPC_L
2019-05-19,0.8124,79.910882,-24.081972,0.7974
2019-05-20,0.8191,79.910881,-24.081969,0.5357
2019-05-21,0.8007,79.910882,-24.081964,0.3451
2019-05-22,0.7954,79.91088,-24.081972,0.3057
2019-05-23,0.7906,79.910883,-24.081979,0.1983
2019-05-24,0.7882,79.910884,-24.081966,0.1734
2019-05-25,0.8008,79.910884,-24.081966,0.6104
2019-05-26,0.7893,79.910882,-24.081976,0.1657
2019-05-27,0.7826,79.910883,-24.081994,0.2963
2019-05-28,0.7848,79.910884,-24.081987,0.195
2019-05-29,0.8432,79.91088,-24.081979,0.7566
2019-05-30,0.8256,79.910883,-24.081967,0.4617
2019-05-31,0.8425,79.910884,-24.081969,0.7581
2019-06-01,0.8053,79.910883,-24.081962,0.3628
2019-06-02,0.8078,79.910882,-24.081966,0.2496
2019-06-03,0.7908,79.910885,-24.081962,0.1647
2019-06-04,0.781,79.910882,-24.081951,0.1982
2019-06-05,0.7861,79.910882,-24.081962,0.6556
2019-06-06,0.767,79.910883,-24.081954,0.5214
2019-06-07,0.7315,79.910881,-24.081962,0.5061
2019-06-08,0.734,79.910882,-24.081963,0.841
2019-06-09,0.6973,79.910884,-24.081959,0.1741
2019-06-10,0.6939,79.910882,-24.081963,0.1283
2019-06-11,0.6823,79.910883,-24.081965,0.1352
2019-06-12,0.6347,79.910885,-24.081975,0.3818
2019-06-13,0.459,79.910884,-24.08196,0.2054
2019-06-14,0.4072,79.910884,-24.08196,0.1962
2019-06-15,0.4146,79.910883,-24.08195,0.1747
2019-06-16,0.4031,79.910883,-24.081952,0.4303
2019-06-17,0.4119,79.910881,-24.081945,0.3475
2019-06-18,0.4598,79.91088,-24.08195,0.1464
2019-06-19,0.4795,79.910882,-24.081944,0.1239
2019-06-20,0.4336,79.910882,-24.081941,0.1631
2019-06-21,0.4914,79.910879,-24.081935,0.1817
2019-06-22,0.5147,79.910879,-24.081932,0.0891
2019-06-23,0.5427,79.91088,-24.081932,0.655
2019-06-24,0.7531,79.91088,-24.081927,0.8466
2019-06-25,0.4886,79.910881,-24.081938,0.8081
