time,alb_KAN_U,lat_KAN_U,lon_KAN_U,cloud_KAN_U
2020-09-12,0.8341,67.000531,-47.030641,0.5559
2020-09-13,0.8354,67.000529,-47.030655,0.2884
2020-09-14,0.8794,67.000531,-47.030643,0.1686
2020-09-15,0.8956,67.000538,-47.030647,0.8192
2020-09-16,0.8673,67.00054,-47.030631,0.8127
2020-09-17,0.9275,67.000528,-47.030671,0.8064
2020-09-18,0.8902,67.000527,-47.030664,0.7619
2020-09-19,0.9384,67.000538,-47.03067,0.8994
2020-09-24,0.8474,67.000538,-47.030688,0.1895
2020-09-25,0.889,67.000535,-47.030684,0.9239
2020-09-26,0.8838,67.000533,-47.030673,0.9601
2021-05-01,0.8433,67.000536,-47.031487,0.1759
2021-05-02,0.831,67.000552,-47.031519,0.0347
2021-05-03,0.8346,67.000548,-47.031573,0.0023
2021-05-04,0.8314,67.000513,-47.031534,0.036
2021-05-05,0.8376,67.000526,-47.031511,0.0482
2021-05-06,0.825,67.000529,-47.031515,0.1483
2021-05-07,0.7954,67.000527,-47.031502,0.1639
2021-05-08,0.8181,67.00051,-47.031484,0.1028
2021-05-09,0.8145,67.000535,-47.031565,0.3148
2021-05-10,0.8407,67.000536,-47.031536,0.4041
2021-05-11,0.8406,67.000534,-47.031528,0.5193
2021-05-12,0.8417,67.000552,-47.031495,0.4933
2021-05-13,0.8075,67.000534,-47.03153,0.1999
2021-05-14,0.8252,67.000537,-47.031539,0.2537
2021-05-15,0.8259,67.00053,-47.031593,0.1841
2021-05-16,0.8059,67.000529,-47.031548,0.1458
2021-05-17,0.8187,67.000542,-47.031557,0.1625
2021-05-18,0.8192,67.000539,-47.031571,0.1517
2021-05-19,0.85,67.000536,-47.031613,0.7029
2021-05-20,0.8455,67.000544,-47.031532,0.6194
2021-05-21,0.8797,67.000553,-47.031576,0.8411
2021-05-22,0.8397,67.000533,-47.031509,0.3995
2021-05-23,0.837,67.00054,-47.031525,0.266
2021-05-24,0.8675,67.000555,-47.03154,0.7075
2021-05-25,0.856,67.00053,-47.031528,0.8121
2021-05-26,0.8649,67.000533,-47.031532,0.9097
2021-05-27,0.8654,67.000518,-47.031538,0.5459
2021-05-28,0.8153,67.000518,-47.031585,0.1365
2021-05-29,0.8145,67.000531,-47.031532,0.2289
2021-05-30,0.8449,67.000533,-47.031569,0.3064
2021-05-31,0.8765,67.00053,-47.031595,0.8575
2021-06-01,0.832,67.00052,-47.031578,0.5456
2021-06-02,0.8297,67.00053,-47.031557,0.13
2021-06-03,0.82,67.000527,-47.03161,0.2072
2021-06-04,0.8226,67.000537,-47.031563,0.1626
2021-06-05,0.809,67.000533,-47.031556,0.1043
2021-06-06,0.8033,67.000541,-47.031538,0.2398
2021-06-07,0.7964,67.000543,-47.031576,0.0658
