date,site,alb_s3,alb_AWS,cloud
2017-05-25,NUK_K,nan,0.7356,0.8752
2017-05-25,NUK_L,nan,0.4881,0.9214
2017-05-25,QAS_L,nan,0.6767,0.9102
2017-05-25,QAS_U,nan,0.8156,0.8753
2017-05-25,SCO_L,nan,0.6215,0.8269
2017-05-25,SCO_U,nan,0.6629,0.515
2017-05-25,TAS_A,nan,0.8065,0.9622
2017-05-25,THU_L,0.676,0.7908,0.5222
2017-05-25,THU_U,nan,0.7807,0.5172
2017-05-25,UPE_L,nan,0.7365,0.5669
2017-05-25,UPE_U,0.804,0.8134,0.4487
2017-05-26,EGP,0.827,0.8143,0.3179
2017-05-26,KAN_L,nan,0.5988,0.5728
2017-05-26,KAN_M,nan,0.8318,0.8026
2017-05-26,KAN_U,nan,0.8385,0.6053
2017-05-26,KPC_L,0.810,0.7913,0.1089
2017-05-26,KPC_U,0.819,0.8085,0.1621
2017-05-26,NUK_K,nan,0.6501,0.4741
2017-05-26,NUK_L,nan,0.4719,0.5028
2017-05-26,QAS_L,nan,0.6742,0.8279
2017-05-26,QAS_U,nan,0.7993,0.7817
2017-05-26,SCO_L,nan,0.5584,0.6178
2017-05-26,SCO_U,0.780,0.6688,0.202
2017-05-26,TAS_A,nan,0.7414,0.4826
2017-05-26,THU_L,nan,0.8716,0.7639
2017-05-26,THU_U,nan,0.8292,0.7329
2017-05-26,UPE_L,nan,0.6905,0.5652
2017-05-26,UPE_U,0.808,0.7658,0.1217
2017-05-27,EGP,nan,0.8074,0.4604
2017-05-27,KAN_L,0.643,0.5722,0.1711
2017-05-27,KAN_M,0.831,0.7581,0.1626
2017-05-27,KAN_U,0.781,0.7733,0.0867
2017-05-27,KPC_L,nan,0.7859,0.2305
2017-05-27,KPC_U,0.813,0.8104,0.225
2017-05-27,NUK_K,nan,0.6423,0.2222
2017-05-27,NUK_L,nan,0.4592,0.136
2017-05-27,QAS_L,nan,0.6325,0.3073
2017-05-27,QAS_U,nan,0.7012,0.2565
2017-05-27,SCO_L,nan,0.572,0.7272
2017-05-27,SCO_U,0.788,0.656,0.4841
2017-05-27,TAS_A,nan,0.808,0.9325
2017-05-27,THU_L,nan,0.8352,0.9862
2017-05-27,THU_U,nan,0.8218,0.8395
2017-05-27,UPE_L,nan,0.8533,0.921
2017-05-27,UPE_U,nan,0.863,0.6117
2017-05-28,EGP,0.821,0.8192,0.261
2017-05-28,KAN_L,nan,0.6878,0.6982
2017-05-28,KAN_M,nan,0.7871,0.4306
2017-05-28,KAN_U,0.778,0.7917,0.3266
2017-05-28,KPC_L,nan,0.804,0.5839
2017-05-28,KPC_U,nan,0.8331,0.5169
2017-05-28,NUK_K,nan,0.648,0.2003
2017-05-28,NUK_L,nan,0.4448,0.2804
2017-05-28,QAS_L,nan,0.6448,0.6542
2017-05-28,QAS_U,nan,0.7355,0.4024
2017-05-28,SCO_L,nan,0.5768,0.8659
2017-05-28,SCO_U,nan,0.7732,0.8257
2017-05-28,TAS_A,nan,0.83,0.9153
2017-05-28,THU_L,nan,0.8657,0.9692
2017-05-28,THU_U,nan,0.8174,0.9015
2017-05-28,UPE_L,nan,0.825,0.9773
2017-05-28,UPE_U,nan,0.8929,0.9009
2017-05-29,EGP,0.815,0.8164,0.2791
2017-05-29,KAN_L,nan,0.6373,0.2952
2017-05-29,KAN_M,nan,0.8022,0.8067
2017-05-29,KAN_U,nan,0.8237,0.7893
2017-05-29,KPC_L,nan,0.785,0.42
2017-05-29,KPC_U,0.835,0.8211,0.2858
2017-05-29,NUK_K,nan,0.7461,0.5193
2017-05-29,NUK_L,nan,0.4839,0.9298
2017-05-29,QAS_L,nan,0.6632,0.937
2017-05-29,QAS_U,nan,0.7966,0.666
2017-05-29,SCO_L,nan,0.6264,0.8862
2017-05-29,SCO_U,nan,0.7984,0.8928
2017-05-29,TAS_A,nan,0.7637,0.7014
2017-05-29,THU_L,nan,0.8331,0.644
2017-05-29,THU_U,0.852,0.8578,0.6227
2017-05-29,UPE_L,nan,0.8441,0.9657
2017-05-29,UPE_U,nan,0.8607,0.9036
2017-05-30,EGP,0.822,0.8055,0.2771
2017-05-30,KAN_L,nan,0.7281,0.6479
2017-05-30,KAN_M,nan,0.8107,0.6377
2017-05-30,KAN_U,nan,0.8596,0.5831
2017-05-30,KPC_L,nan,0.7849,0.3771
2017-05-30,KPC_U,0.834,0.8248,0.3996
2017-05-30,NUK_K,nan,0.721,0.8605
2017-05-30,NUK_L,nan,0.6154,0.8301
2017-05-30,QAS_L,0.702,0.5943,0.329
2017-05-30,QAS_M,nan,0.7182,0.0462
2017-05-30,QAS_U,nan,0.6671,0.2205
2017-05-30,SCO_L,nan,0.5991,0.5173
2017-05-30,SCO_U,nan,0.7891,0.3582
2017-05-30,TAS_A,nan,0.7716,0.7361
2017-05-30,THU_L,nan,0.8657,0.722
2017-05-30,THU_U,0.853,0.8421,0.6956
2017-05-30,UPE_L,nan,0.761,0.584
2017-05-30,UPE_U,0.867,0.795,0.4172
2017-05-31,EGP,0.817,0.8042,0.2225
2017-05-31,KAN_L,0.676,0.6412,0.1169
2017-05-31,KAN_M,0.816,0.7635,0.0874
2017-05-31,KAN_U,0.806,0.7908,0.0842
2017-05-31,KPC_L,0.702,0.7839,0.1655
2017-05-31,KPC_U,0.820,0.8072,0.2843
2017-05-31,NUK_K,nan,0.6427,0.1483
2017-05-31,NUK_L,nan,0.4427,0.0589
2017-05-31,QAS_L,nan,0.5884,0.358
2017-05-31,QAS_M,nan,0.6579,0.3319
2017-05-31,QAS_U,nan,0.7078,0.2792
2017-05-31,SCO_L,nan,0.5475,0.4455
