date,site,alb_sat,alb_AWS,cloud
2017_05_19,QAS_L,0.712,0.7673,0.9997
2017_05_19,QAS_M,0.763,0.848,1.0
2017_05_19,QAS_U,0.772,0.8529,1.0
2017_05_19,SCO_L,0.623,0.6158,0.2831
2017_05_19,SCO_U,0.716,0.737,0.1665
2017_05_19,TAS_A,0.739,0.7739,0.8876
2017_05_19,THU_L,0.899,0.8406,0.7011
2017_05_19,THU_U,0.768,0.8758,0.6557
2017_05_19,UPE_L,0.791,0.8327,1.0
2017_05_19,UPE_U,0.810,0.8744,0.8059
2017_05_20,EGP,0.812,0.8178,0.2225
2017_05_20,KAN_L,0.596,0.5712,0.8044
2017_05_20,KAN_M,0.762,0.811,0.7803
2017_05_20,KAN_U,0.786,0.8993,0.8979
2017_05_20,KPC_L,0.693,0.8072,0.446
2017_05_20,KPC_U,0.776,0.8262,0.3798
2017_05_20,NUK_K,0.531,0.8472,0.9955
2017_05_20,NUK_L,0.491,0.4749,0.8805
2017_05_20,QAS_L,0.706,0.7466,0.9547
2017_05_20,QAS_M,0.764,0.7948,0.9449
2017_05_20,QAS_U,0.774,0.8146,0.9392
2017_05_20,SCO_L,0.605,0.5453,0.3129
2017_05_20,SCO_U,0.715,0.6744,0.213
2017_05_20,TAS_A,0.738,0.6988,0.4749
2017_05_20,THU_L,0.766,0.7907,0.1608
2017_05_20,THU_U,0.831,0.8292,0.1178
2017_05_20,UPE_L,0.781,0.896,0.9927
2017_05_20,UPE_U,0.810,0.9213,0.9775
2017_05_21,EGP,0.812,0.7942,0.3072
2017_05_21,KAN_L,0.596,0.7124,0.9273
2017_05_21,KAN_M,0.762,0.8259,0.9163
2017_05_21,KAN_U,0.786,0.8359,0.8813
2017_05_21,KPC_L,0.696,0.8184,0.1656
2017_05_21,KPC_U,0.774,0.8426,0.2089
2017_05_21,NUK_K,0.525,0.6895,0.8217
2017_05_21,NUK_L,0.480,0.4699,0.9836
2017_05_21,QAS_L,0.706,0.6731,0.6954
2017_05_21,QAS_M,0.763,0.6749,0.5496
2017_05_21,QAS_U,0.774,0.708,0.202
2017_05_21,SCO_L,0.593,0.4982,0.2523
2017_05_21,SCO_U,0.713,0.6596,0.2031
2017_05_21,TAS_A,0.738,0.6745,0.239
2017_05_21,THU_L,0.851,0.8183,0.5644
2017_05_21,THU_U,0.835,0.8158,0.4705
2017_05_21,UPE_L,0.782,0.8301,0.9484
2017_05_21,UPE_U,0.807,0.8353,0.7953
2017_05_22,EGP,0.813,0.7824,0.2746
2017_05_22,KAN_L,0.587,0.7986,0.9226
2017_05_22,KAN_M,0.758,0.8043,0.9137
2017_05_22,KAN_U,0.782,0.7739,0.2804
2017_05_22,KPC_L,0.693,0.815,0.1523
2017_05_22,KPC_U,0.773,0.8367,0.1613
2017_05_22,NUK_K,0.524,0.647,0.5317
2017_05_22,NUK_L,0.479,0.4589,0.8182
2017_05_22,QAS_L,0.687,0.6492,0.2979
2017_05_22,QAS_M,0.742,0.6743,0.3684
2017_05_22,QAS_U,0.767,0.6974,0.2507
2017_05_22,SCO_L,0.596,0.5532,0.8521
2017_05_22,SCO_U,0.708,0.6997,0.8509
2017_05_22,TAS_A,0.738,0.7253,0.6185
2017_05_22,THU_L,0.767,0.7947,0.168
2017_05_22,THU_U,0.828,0.8147,0.1331
2017_05_22,UPE_L,0.770,0.8389,0.8951
2017_05_22,UPE_U,0.806,0.7975,0.446
2017_05_23,EGP,0.813,0.752,0.2277
2017_05_23,KAN_L,0.581,0.697,0.7284
2017_05_23,KAN_M,0.757,0.7475,0.514
2017_05_23,KAN_U,0.775,0.7787,0.4447
2017_05_23,KPC_L,0.692,0.8055,0.2404
2017_05_23,KPC_U,0.771,0.8178,0.1845
2017_05_23,NUK_K,0.514,0.7712,0.9057
2017_05_23,NUK_L,0.466,0.4981,0.7658
2017_05_23,QAS_L,0.655,0.6628,0.9014
2017_05_23,QAS_M,0.722,0.6869,0.9393
2017_05_23,QAS_U,0.732,0.7347,0.8657
2017_05_23,SCO_L,0.603,0.5783,0.8835
2017_05_23,SCO_U,0.712,0.7139,0.8493
2017_05_23,TAS_A,0.738,0.7125,0.7051
2017_05_23,THU_L,32.767,0.8657,0.8994
2017_05_23,THU_U,0.838,0.8382,0.8951
2017_05_23,UPE_L,0.770,0.8066,0.7022
2017_05_23,UPE_U,0.806,0.7891,0.0711
2017_05_24,EGP,0.813,0.8138,0.2612
2017_05_24,KAN_L,0.584,0.6615,0.8546
2017_05_24,KAN_M,0.759,0.758,0.5313
2017_05_24,KAN_U,0.774,0.7772,0.3285
2017_05_24,KPC_L,0.689,0.7959,0.1916
2017_05_24,KPC_U,0.769,0.8086,0.2502
2017_05_24,NUK_K,0.491,0.7927,0.9824
2017_05_24,NUK_L,0.443,0.5464,0.9412
2017_05_24,QAS_L,0.640,0.7161,0.9753
2017_05_24,QAS_U,0.728,0.8018,0.9826
2017_05_24,SCO_L,0.588,0.5257,0.1657
2017_05_24,SCO_U,0.712,0.6748,0.0644
2017_05_24,TAS_A,0.738,0.7783,0.9064
2017_05_24,THU_L,0.781,0.7977,0.7804
2017_05_24,THU_U,0.838,0.8047,0.7324
2017_05_24,UPE_L,0.774,0.7517,0.222
2017_05_24,UPE_U,0.803,0.7831,0.0064
2017_05_25,EGP,0.813,0.8178,0.2837
2017_05_25,KAN_L,0.578,0.593,0.5333
2017_05_25,KAN_M,0.759,0.731,0.3775
2017_05_25,KAN_U,0.771,0.7726,0.27
2017_05_25,KPC_L,0.687,0.7895,0.1592
2017_05_25,KPC_U,0.769,0.8077,0.1996
2017_05_25,NUK_K,0.481,0.7356,0.8752
2017_05_25,NUK_L,0.422,0.4881,0.9214
2017_05_25,QAS_L,0.626,0.6767,0.9102
2017_05_25,QAS_U,0.726,0.8156,0.8753
2017_05_25,SCO_L,0.605,0.6215,0.8269
2017_05_25,SCO_U,0.712,0.6629,0.515
2017_05_25,TAS_A,0.732,0.8065,0.9622
2017_05_25,THU_L,0.632,0.7908,0.5222
2017_05_25,THU_U,0.834,0.7807,0.5172
2017_05_25,UPE_L,0.760,0.7365,0.5669
2017_05_25,UPE_U,0.804,0.8134,0.4487
2017_05_26,EGP,0.814,0.8143,0.3179
2017_05_26,KAN_L,0.576,0.5988,0.5728
2017_05_26,KAN_M,0.776,0.8318,0.8026
2017_05_26,KAN_U,0.788,0.8385,0.6053
2017_05_26,KPC_L,0.682,0.7913,0.1089
2017_05_26,KPC_U,0.768,0.8085,0.1621
2017_05_26,NUK_K,0.478,0.6501,0.4741
2017_05_26,NUK_L,0.418,0.4719,0.5028
2017_05_26,QAS_L,0.609,0.6742,0.8279
2017_05_26,QAS_U,0.721,0.7993,0.7817
2017_05_26,SCO_L,0.581,0.5584,0.6178
2017_05_26,SCO_U,0.709,0.6688,0.202
2017_05_26,TAS_A,0.724,0.7414,0.4826
2017_05_26,THU_L,32.767,0.8716,0.7639
2017_05_26,THU_U,0.830,0.8292,0.7329
2017_05_26,UPE_L,0.751,0.6905,0.5652
2017_05_26,UPE_U,0.801,0.7658,0.1217
2017_05_27,EGP,0.815,0.8074,0.4604
2017_05_27,KAN_L,0.566,0.5722,0.1711
2017_05_27,KAN_M,0.760,0.7581,0.1626
2017_05_27,KAN_U,0.776,0.7733,0.0867
2017_05_27,KPC_L,0.678,0.7859,0.2305
2017_05_27,KPC_U,0.766,0.8104,0.225
2017_05_27,NUK_K,0.476,0.6423,0.2222
2017_05_27,NUK_L,0.418,0.4592,0.136
2017_05_27,QAS_L,0.603,0.6325,0.3073
2017_05_27,QAS_U,0.709,0.7012,0.2565
2017_05_27,SCO_L,0.572,0.572,0.7272
2017_05_27,SCO_U,0.706,0.656,0.4841
2017_05_27,TAS_A,0.723,0.808,0.9325
2017_05_27,THU_L,0.656,0.8352,0.9862
2017_05_27,THU_U,0.823,0.8218,0.8395
2017_05_27,UPE_L,0.735,0.8533,0.921
2017_05_27,UPE_U,0.802,0.863,0.6117
2017_05_28,EGP,0.817,0.8192,0.261
2017_05_28,KAN_L,0.569,0.6878,0.6982
2017_05_28,KAN_M,0.760,0.7871,0.4306
2017_05_28,KAN_U,0.777,0.7917,0.3266
2017_05_28,KPC_L,0.672,0.804,0.5839
2017_05_28,KPC_U,0.764,0.8331,0.5169
2017_05_28,NUK_K,0.469,0.648,0.2003
2017_05_28,NUK_L,0.417,0.4448,0.2804
2017_05_28,QAS_L,0.602,0.6448,0.6542
2017_05_28,QAS_U,0.706,0.7355,0.4024
